Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"Internet","e0/0","200.200.200.2","255.255.255.0"
"R1","e0/0","192.168.1.1","255.255.255.0"
"R1","e0/1","200.200.200.1","255.255.255.0"
"R1","s1/0","10.0.12.1","255.255.255.0"
"R1","e0/2","10.0.13.1","255.255.255.0"
"R2","s1/0","10.0.12.2","255.255.255.0"
"R2","e0/0","10.0.24.1","255.255.255.0"
"R3","e0/0","10.0.13.2","255.255.255.0"
"R3","e0/1","192.168.3.1","255.255.255.0"
"R3","s1/0","10.0.34.1","255.255.255.0"
"R4","e0/0","10.0.24.2","255.255.255.0"
"R4","s1/0","10.0.34.2","255.255.255.0"
"R4","e0/1","192.168.4.1","255.255.255.0"
"VPC5","eth0","192.168.1.10","255.255.255.0"
"VPC6","eth0","192.168.4.10","255.255.255.0"
"VPC7","eth0","192.168.3.10","255.255.255.0"
