Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"Internet","s1/0","220.100.100.1","255.255.255.252"
"Central","s1/2","220.100.100.2","255.255.255.252"
"Central","s1/0","220.100.100.34","255.255.255.252"
"West","s1/0","220.100.100.33","255.255.255.252"
"Central","s1/1","220.100.100.66","255.255.255.252"
"East","s1/0","220.100.100.65","255.255.255.252"
"West","e0/0","222.100.100.1","255.255.255.128"
"PC_West","eth0","222.100.100.2","255.255.255.128"
"Central","e0/0","222.100.100.129","255.255.255.192"
"PC_Central","eth0","222.100.100.130","255.255.255.192"
"East","e0/0","222.100.100.193","255.255.255.224"
"PC_East","eth0","222.100.100.194","255.255.255.224"
