Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"R1","e0/0","192.168.123.1","255.255.255.0"
"R1","s1/0","192.168.12.1","255.255.255.0"
"R1","e0/1","192.168.1.1","255.255.255.0"
"R2","e0/0","192.168.123.2","255.255.255.0"
"R2","s1/0","192.168.12.2","255.255.255.0"
"R2","e0/1","192.168.2.1","255.255.255.0"
"R3","e0/2","192.168.123.3","255.255.255.0"
"R3","e0/1","192.168.3.1","255.255.255.0"
"VPC7","eth0","192.168.1.10","255.255.255.0"
"VPC6","eth0","192.168.2.10","255.255.255.0"
"VPC9","eth0","192.168.3.10","255.255.255.0"
