Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"BB1","s1/0","10.1.1.1","255.255.255.0"
"BB1","e0/0","172.16.10.254","255.255.255.0"
"BB1","e0/1","172.16.11.254","255.255.255.0"
"R1","s1/0","10.1.1.10","255.255.255.0"
"R1","s1/1","192.168.1.33","255.255.255.240"
"R1","s1/2","192.168.1.49","255.255.255.240"
"R2","s1/0","192.168.1.34","255.255.255.240"
"R2","e0/0","192.168.1.65","255.255.255.240"
"R2","s1/1","172.22.2.1","255.255.255.0"
"R3","s1/0","192.168.1.50","255.255.255.240"
"R3","e0/0","192.168.1.66","255.255.255.240"
"R3","s1/1","172.22.1.1","255.255.255.0"
"BB2","s1/0","172.22.2.100","255.255.255.0"
"BB2","e0/0","172.21.21.254","255.255.255.0"
"BB3","s1/0","172.22.1.100","255.255.255.0"
"BB3","e0/0","172.31.21.254","255.255.255.0"
"PC1","eth0","172.16.10.1","255.255.255.0"
"SERVER1","eth0","172.16.10.200","255.255.255.0"
"PC2","eth0","172.16.11.1","255.255.255.0"
"PC3","eth0","172.21.21.1","255.255.255.0"
"PC4","eth0","172.31.21.1","255.255.255.0"
